task_id,difficulty,claude,gemini,deepseek
minimum-cost-to-reach-every-position,easy,PASS,PASS,PASS
maximum-containers-on-a-ship,easy,PASS,PASS,PASS
reverse-degree-of-a-string,easy,PASS,PASS,PASS
maximum-unique-subarray-sum-after-deletion,easy,PASS,PASS,FAIL
phone-number-prefix,easy,PASS,PASS,PASS
unique-3-digit-even-numbers,easy,PASS,PASS,PASS
find-the-largest-almost-missing-integer,easy,PASS,PASS,PASS
transform-array-by-parity,easy,PASS,PASS,PASS
find-special-substring-of-length-k,easy,PASS,PASS,PASS
maximum-students-on-a-single-bench,easy,PASS,PASS,PASS
properties-graph,medium,PASS,PASS,PASS
find-the-minimum-amount-of-time-to-brew-potions,medium,PASS,PASS,FAIL
maximize-score-after-pair-deletions,medium,FAIL,PASS,PASS
closest-equal-element-queries,medium,FAIL,RUNTIME_ERROR,RUNTIME_ERROR
zero-array-transformation-iv,medium,FAIL,FAIL,FAIL
choose-k-elements-with-maximum-sum,medium,PASS,PASS,PASS
fruits-into-baskets-iii,medium,RUNTIME_ERROR,PASS,PASS
apply-substitutions,medium,PASS,PASS,PASS
longest-palindromic-subsequence-after-at-most-k-operations,medium,FAIL,PASS,RUNTIME_ERROR
sum-of-k-subarrays-with-length-at-least-m,medium,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR
longest-palindrome-after-substring-concatenation-ii,hard,FAIL,FAIL,SYNTAX_ERROR
minimum-operations-to-make-elements-within-k-subarrays-equal,hard,RUNTIME_ERROR,RUNTIME_ERROR,FAIL
minimum-operations-to-make-array-elements-zero,hard,PASS,PASS,PASS
minimum-cost-to-divide-array-into-subarrays,hard,PASS,PASS,FAIL
maximize-active-section-with-trade-ii,hard,FAIL,FAIL,FAIL
count-beautiful-numbers,hard,PASS,TIMEOUT,FAIL
maximize-subarrays-after-removing-one-conflicting-pair,hard,FAIL,PASS,FAIL
longest-common-prefix-of-k-strings-after-removal,hard,RUNTIME_ERROR,RUNTIME_ERROR,RUNTIME_ERROR
longest-special-path-ii,hard,FAIL,FAIL,FAIL
lexicographically-smallest-generated-string,hard,PASS,PASS,PASS
