task_id,difficulty,claude,gemini,deepseek
minimum-cost-to-reach-every-position,easy,PASS,PASS,PASS
maximum-containers-on-a-ship,easy,PASS,PASS,PASS
reverse-degree-of-a-string,easy,PASS,PASS,PASS
maximum-unique-subarray-sum-after-deletion,easy,PASS,PASS,FAIL
phone-number-prefix,easy,PASS,PASS,PASS
unique-3-digit-even-numbers,easy,PASS,PASS,PASS
find-the-largest-almost-missing-integer,easy,PASS,PASS,PASS
transform-array-by-parity,easy,PASS,PASS,PASS
find-special-substring-of-length-k,easy,PASS,PASS,PASS
maximum-students-on-a-single-bench,easy,PASS,PASS,PASS
properties-graph,medium,PASS,PASS,PASS
find-the-minimum-amount-of-time-to-brew-potions,medium,SYNTAX_ERROR,PASS,PASS
maximize-score-after-pair-deletions,medium,PASS,RUNTIME_ERROR,FAIL
closest-equal-element-queries,medium,RUNTIME_ERROR,FAIL,FAIL
zero-array-transformation-iv,medium,FAIL,FAIL,FAIL
choose-k-elements-with-maximum-sum,medium,PASS,SYNTAX_ERROR,FAIL
fruits-into-baskets-iii,medium,SYNTAX_ERROR,SYNTAX_ERROR,SYNTAX_ERROR
apply-substitutions,medium,PASS,PASS,PASS
longest-palindromic-subsequence-after-at-most-k-operations,medium,FAIL,RUNTIME_ERROR,FAIL
sum-of-k-subarrays-with-length-at-least-m,medium,FAIL,SYNTAX_ERROR,RUNTIME_ERROR
longest-palindrome-after-substring-concatenation-ii,hard,FAIL,FAIL,FAIL
minimum-operations-to-make-elements-within-k-subarrays-equal,hard,SYNTAX_ERROR,SYNTAX_ERROR,SYNTAX_ERROR
minimum-operations-to-make-array-elements-zero,hard,PASS,PASS,TIMEOUT
minimum-cost-to-divide-array-into-subarrays,hard,PASS,SYNTAX_ERROR,FAIL
maximize-active-section-with-trade-ii,hard,SYNTAX_ERROR,SYNTAX_ERROR,SYNTAX_ERROR
count-beautiful-numbers,hard,SYNTAX_ERROR,PASS,FAIL
maximize-subarrays-after-removing-one-conflicting-pair,hard,PASS,SYNTAX_ERROR,SYNTAX_ERROR
longest-common-prefix-of-k-strings-after-removal,hard,SYNTAX_ERROR,SYNTAX_ERROR,SYNTAX_ERROR
longest-special-path-ii,hard,PASS,SYNTAX_ERROR,FAIL
lexicographically-smallest-generated-string,hard,PASS,PASS,PASS
